scheme_name,category,scheme_type,ministry,benefits,eligibility,description,target_group,age_min,age_max,gender,family_income_max,occupation,state,priority
Consolidated Stipend Scheme for Scheduled Caste Students Pursuing Higher Education,Student,Government,Ministry of Education,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,Student,All,Medium
Continuation of Pension (K.B.O.C.W.W.B),Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Credit Based Schemes For SC - Aajeevika Micro-Finance Yojana (Livelihood Microfinance Scheme),General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Cycle Anudaan Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Cycle Sahayata Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Dattopant Thengadi Mratak Shramik Aarthik Sahayata Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Dayanand Bandodkar Scheme For Higher Education For Orphans,Student,Government,Ministry of Education,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Deen Dayal Divyangjan Pension Scheme - Assam,Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Deen Dayal SPARSH Yojana (Scholarship For Promotion Of Aptitude & Research In Stamps As A Hobby),Student,Government,Ministry of Education,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,Student,All,Medium
Deen Dayal Swasthya Seva Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Deen Dayal Upadhyay Grameen Kaushalya Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Deen Dayal Upadhyay Kaushal Kendra (DDUKK)- Mega Skill Centre,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU),General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU-II),General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Deen Dayal Upadhyaya Bunkar Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,High
Delhi Pension Scheme To Women In Distress (Widow Pension),Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,Female,500000,Unemployed,All,Medium
Dependent Children Pension Scheme - Punjab,Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Destitute Agricultural Labourers Pension Scheme,Farmer,Government,Ministry of Agriculture,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Destitute Differently Abled Pension Scheme,Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Destitute Widow Pension Scheme,Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Destitute/Deserted Wives Pension Scheme,Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Devnarayan Gurukul Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Devnarayan Pratibhawan Chhatra Protsahan Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Dhanvantari Arogya Rath Yojana (GBOCWWB),General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Dhobhi Hetu Avashyak Upkaran Sahayata Yojana,General,Government,Various Ministries,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Differently Abled Pension Scheme,Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Disability Pension (A.B.O.C.W.W.B),Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Disability Pension (BBOCWWB),Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Disability Pension (GBOCWWB),Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Disability Pension (HPBOCWWB),Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Disability Pension (MBOCWWB),Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Disability Pension - West Bengal,Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Disability Pension For Registered Worker (HBOCWWB),Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Disability Pension and Ex-Gratia (K.B.O.C.W.W.B),Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Disability Pension for the Construction Workers,Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Disabled Person Pension Scheme - Punjab,Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
Distance Education Scheme for Girls,Student,Government,Ministry of Education,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
"Distance Education Scholarship–Scholarship For Disabled Students Pursuing Degree, PG Courses",Student,Government,Ministry of Education,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,Student,All,Medium
Distribution of Soil Health Card,Health,Government,Ministry of Health,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
"District Central Cooperative Banks and through its Branches: For Housing, House Construction, Repair Extension Loan",MSME/Startup,Government,Ministry of MSME,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,0,100,All,500000,All,All,Medium
Divyang Pension Scheme,Pension,Government,Ministry of Rural Development,As per official scheme guidelines,As per government norms,Government welfare scheme,General Public,60,100,All,500000,Unemployed,All,Medium
