age_min,state,income_max,priority,ministry,scheme_type,benefits,category,description,eligibility,scheme_name,occupation,target_group,gender,age_max,family_income_max,age_group,income_group,combined_text
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Acharya Vidyasagar Gau Samvardhan Yojana,all,General Public,all,100,500000,,middle,Acharya Vidyasagar Gau Samvardhan Yojana general Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Additional Pension to 100% Disabled Ex-Serviceman having Children,unemployed,General Public,all,100,500000,adult,middle,Additional Pension to 100% Disabled Ex-Serviceman having Children pension Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Additional Pension to 100% Disabled Ex-Serviceman having No Child,unemployed,General Public,all,100,500000,adult,middle,Additional Pension to 100% Disabled Ex-Serviceman having No Child pension Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Additional Pension to Widow of Ex-Serviceman having Children,unemployed,General Public,all,100,500000,adult,middle,Additional Pension to Widow of Ex-Serviceman having Children pension Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Additional Pension to Widow of Ex-Serviceman having No Child,unemployed,General Public,all,100,500000,adult,middle,Additional Pension to Widow of Ex-Serviceman having No Child pension Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Education,Government,As per official scheme guidelines,student,Government welfare scheme,As per government norms,Adi Dravidar and Tribal Welfare Department: Scholarship-Free Education upto 12th Std. to All,student,General Public,all,100,500000,,middle,Adi Dravidar and Tribal Welfare Department: Scholarship-Free Education upto 12th Std. to All student Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,"Adivasi Sanskriti Evam Kala Kendra/Majhi Bhavan, Manki Munda Bhavan, Parha Bhavan, Pargana Bhavan, Dumkuria Bhavan Evam Gosade Nirman Tatha Majhi Than Shed Nirman Yojana",all,General Public,all,100,500000,,middle,"Adivasi Sanskriti Evam Kala Kendra/Majhi Bhavan, Manki Munda Bhavan, Parha Bhavan, Pargana Bhavan, Dumkuria Bhavan Evam Gosade Nirman Tatha Majhi Than Shed Nirman Yojana general Government welfare scheme As per official scheme guidelines General Public"
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Admission in Post Matric Hostel,all,General Public,all,100,500000,,middle,Admission in Post Matric Hostel general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Admission of Adi Dravidar/Tribal Students in Plus One at Reputed Schools,student,General Public,all,100,500000,,middle,Admission of Adi Dravidar/Tribal Students in Plus One at Reputed Schools general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Agnipath Yojana,all,General Public,all,100,500000,,middle,Agnipath Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Agriculture,Government,As per official scheme guidelines,farmer,Government welfare scheme,As per government norms,Agricultural Skill Development Training Programme For Women Farmers And Farmers,farmer,General Public,female,100,500000,,middle,Agricultural Skill Development Training Programme For Women Farmers And Farmers farmer Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Agriculture,Government,As per official scheme guidelines,farmer,Government welfare scheme,As per government norms,Agriculture And Processed Foods Export Promotion Scheme Of APEDA For The 15th Finance Commission Cycle (2021-22 To 2025-26),all,General Public,all,100,500000,,middle,Agriculture And Processed Foods Export Promotion Scheme Of APEDA For The 15th Finance Commission Cycle (2021-22 To 2025-26) farmer Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Akanksha Housing Scheme,all,General Public,all,100,500000,,middle,Akanksha Housing Scheme general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Alpasankhyak Post-Maitrik Chhaatravrtti Yojana,all,General Public,all,100,500000,,middle,Alpasankhyak Post-Maitrik Chhaatravrtti Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Alpsankhyak Merit-Cum-Means Chatravriti Yojana,all,General Public,all,100,500000,,middle,Alpsankhyak Merit-Cum-Means Chatravriti Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Women & Child Development,Government,As per official scheme guidelines,women,Government welfare scheme,As per government norms,Alpsankhyak Muslim Parityaqta/Talaqshuda Mahila Sahayata Yojana,all,General Public,female,100,500000,,middle,Alpsankhyak Muslim Parityaqta/Talaqshuda Mahila Sahayata Yojana women Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Health,Government,As per official scheme guidelines,health,Government welfare scheme,As per government norms,Andaman & Nicobar Islands Scheme for Health Insurance,all,General Public,all,100,500000,,middle,Andaman & Nicobar Islands Scheme for Health Insurance health Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Annath Pension Yojana (JBOCWWB),unemployed,General Public,all,100,500000,adult,middle,Annath Pension Yojana (JBOCWWB) pension Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Antarjatiye Vivah Protsahan Anudan Yojana,all,General Public,all,100,500000,,middle,Antarjatiye Vivah Protsahan Anudan Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Antayoshti Sahayata Yojana,all,General Public,all,100,500000,,middle,Antayoshti Sahayata Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Antheyesthi Anudan Yojana,all,General Public,all,100,500000,,middle,Antheyesthi Anudan Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Antim Sans‍kar Yojana ​,all,General Public,all,100,500000,,middle,Antim Sans‍kar Yojana ​ general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Antya Sanskar Sahay Yojana,all,General Public,all,100,500000,,middle,Antya Sanskar Sahay Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of MSME,Government,As per official scheme guidelines,msme/startup,Government welfare scheme,As per government norms,Arivu Education Loan Scheme,all,General Public,all,100,500000,,middle,Arivu Education Loan Scheme msme/startup Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Asangathit Karmakaar Mrtyu Evan Divyaang Sahaayata Yojana,all,General Public,all,100,500000,,middle,Asangathit Karmakaar Mrtyu Evan Divyaang Sahaayata Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Asangathit Karmakaar Silai Machine Sahayata Yojana,all,General Public,all,100,500000,,middle,Asangathit Karmakaar Silai Machine Sahayata Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Asangathit Karmakar Gambhir Bimari Chikitsa Sahayata Yojana,all,General Public,all,100,500000,,middle,Asangathit Karmakar Gambhir Bimari Chikitsa Sahayata Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Asangathit Karmakar Ke Bachcho Hetu Chhatravriti Yojana,all,General Public,all,100,500000,,middle,Asangathit Karmakar Ke Bachcho Hetu Chhatravriti Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Asangathit Karmakar Prasuti Sahayata Yojana,all,General Public,all,100,500000,,middle,Asangathit Karmakar Prasuti Sahayata Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Asangathit Karmakar Samachar-Patr Hawker Cycle Sahayata Yojana,all,General Public,all,100,500000,,middle,Asangathit Karmakar Samachar-Patr Hawker Cycle Sahayata Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of MSME,Government,As per official scheme guidelines,msme/startup,Government welfare scheme,As per government norms,Assam Abhinandan Education Loan Subsidy Scheme,all,General Public,all,100,500000,,middle,Assam Abhinandan Education Loan Subsidy Scheme msme/startup Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Atal Asra Yojana,all,General Public,all,100,500000,,middle,Atal Asra Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Atal Awasiya Vidyala Yojana,all,General Public,all,100,500000,,middle,Atal Awasiya Vidyala Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Atal Beemit Vyakti Kalyan Yojana,all,General Public,all,100,500000,,middle,Atal Beemit Vyakti Kalyan Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Atal Graha Jyoti Yojana,all,General Public,all,100,500000,,middle,Atal Graha Jyoti Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Atal Mission For Rejuvenation And Urban Transformation,all,General Public,all,100,500000,,middle,Atal Mission For Rejuvenation And Urban Transformation general Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Atal Pension Yojana,unemployed,General Public,all,100,500000,adult,middle,Atal Pension Yojana pension Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Atal Sneh Yojana,all,General Public,all,100,500000,,middle,Atal Sneh Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Atma Nirbhar Bagwani Yojana,all,General Public,all,100,500000,,middle,Atma Nirbhar Bagwani Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Atma Nirbhar Krishi Yojana,all,General Public,all,100,500000,,middle,Atma Nirbhar Krishi Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,"Award for Success in State Public Service Commission, Union Public Service Commission Examination (MPBOCWWB)",all,General Public,all,100,500000,,middle,"Award for Success in State Public Service Commission, Union Public Service Commission Examination (MPBOCWWB) general Government welfare scheme As per official scheme guidelines General Public"
0,all,400000.0,Medium,Ministry of Education,Government,As per official scheme guidelines,student,Government welfare scheme,As per government norms,Award of Attendance Scholarship to Girl Students in the Middle Stage of Education,student,General Public,all,100,500000,,middle,Award of Attendance Scholarship to Girl Students in the Middle Stage of Education student Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,High,Ministry of Education,Government,As per official scheme guidelines,student,Government welfare scheme,As per government norms,Award of Scholarship to the Children who are Recipients of National Child Award for Exceptional Achievements and Other National / International Merit Awards,student,General Public,all,100,500000,,middle,Award of Scholarship to the Children who are Recipients of National Child Award for Exceptional Achievements and Other National / International Merit Awards student Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Awasiya Vidyala Yojana,all,General Public,all,100,500000,,middle,Awasiya Vidyala Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,High,Ministry of Health,Government,As per official scheme guidelines,health,Government welfare scheme,As per government norms,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,all,General Public,all,100,300000,,middle,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana health Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Education,Government,As per official scheme guidelines,student,Government welfare scheme,As per government norms,BPL (Below Poverty Line) Student Welfare Scholarship - Technical Education,student,General Public,all,100,500000,,middle,BPL (Below Poverty Line) Student Welfare Scholarship - Technical Education student Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Bakri Palan Yojana,all,General Public,all,100,500000,,middle,Bakri Palan Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Bal Sakha Yojana,all,General Public,all,100,500000,,middle,Bal Sakha Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Balika Samrithi Yojana,all,General Public,all,100,500000,,middle,Balika Samrithi Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Banglar Awaas Yojana (BAY),all,General Public,all,100,500000,,middle,Banglar Awaas Yojana (BAY) general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Baristha Nagarika Tirtha Yatra Yojana,all,General Public,all,100,500000,,middle,Baristha Nagarika Tirtha Yatra Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Beej Masaale Ki Yojana,all,General Public,all,100,500000,,middle,Beej Masaale Ki Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Beti Hai Anmol Yojana,all,General Public,all,100,500000,,middle,Beti Hai Anmol Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Education,Government,As per official scheme guidelines,student,Government welfare scheme,As per government norms,Bharati Scheme for Education - 1st Class to 5th Class,all,General Public,all,100,500000,,middle,Bharati Scheme for Education - 1st Class to 5th Class student Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Education,Government,As per official scheme guidelines,student,Government welfare scheme,As per government norms,Bharati Scheme for Education - 6th Class to 10th Class,all,General Public,all,100,500000,,middle,Bharati Scheme for Education - 6th Class to 10th Class student Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Education,Government,As per official scheme guidelines,student,Government welfare scheme,As per government norms,Bharati Scheme for Education - Graduation,all,General Public,all,100,500000,,middle,Bharati Scheme for Education - Graduation student Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Education,Government,As per official scheme guidelines,student,Government welfare scheme,As per government norms,Bharati Scheme for Education - Intermediate or Equivalent,all,General Public,all,100,500000,,middle,Bharati Scheme for Education - Intermediate or Equivalent student Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Education,Government,As per official scheme guidelines,student,Government welfare scheme,As per government norms,Bharati Scheme for Education - Post-Graduation,all,General Public,all,100,500000,,middle,Bharati Scheme for Education - Post-Graduation student Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Education,Government,As per official scheme guidelines,student,Government welfare scheme,As per government norms,Bharati Scheme for Education - Professional Education Course,all,General Public,all,100,500000,,middle,Bharati Scheme for Education - Professional Education Course student Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Education,Government,As per official scheme guidelines,student,Government welfare scheme,As per government norms,Bharati Scheme for Education Professional Education Course - Chartered Accountancy Final,all,General Public,all,100,500000,,middle,Bharati Scheme for Education Professional Education Course - Chartered Accountancy Final student Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Education,Government,As per official scheme guidelines,student,Government welfare scheme,As per government norms,Bharati Scheme for Education Professional Education Course - Chartered Accountancy Intern,all,General Public,all,100,500000,,middle,Bharati Scheme for Education Professional Education Course - Chartered Accountancy Intern student Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Bhavantar Bharpai Yojana,all,General Public,all,100,500000,,middle,Bhavantar Bharpai Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Bhed Palan Yojana,all,General Public,all,100,500000,,middle,Bhed Palan Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Bhraman - Darshan Yojana,all,General Public,all,100,500000,,middle,Bhraman - Darshan Yojana general Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Bihar Disability Pension Scheme,unemployed,General Public,all,100,500000,adult,middle,Bihar Disability Pension Scheme pension Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Bihar Shatabdi AIDS Pirit Kalyan Yojana,all,General Public,all,100,500000,,middle,Bihar Shatabdi AIDS Pirit Kalyan Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Accidental Death,all,General Public,all,100,500000,,middle,Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Accidental Death general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Accidental Injuries,all,General Public,all,100,500000,,middle,Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Accidental Injuries general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Medical Assistance for Incurable Diseases,all,General Public,all,100,500000,,middle,Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Medical Assistance for Incurable Diseases general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Natural Death,all,General Public,all,100,500000,,middle,Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Natural Death general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Permanent Partial Disability,all,General Public,all,100,500000,,middle,Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Permanent Partial Disability general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Total Permanent Disability,all,General Public,all,100,500000,,middle,Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Total Permanent Disability general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of MSME,Government,As per official scheme guidelines,msme/startup,Government welfare scheme,As per government norms,Bihar Startup Policy,all,General Public,all,100,500000,,middle,Bihar Startup Policy msme/startup Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Bihar State Alpsankhyak Awasiya Vidyalaya Yojana,all,General Public,all,100,500000,,middle,Bihar State Alpsankhyak Awasiya Vidyalaya Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Health,Government,As per official scheme guidelines,health,Government welfare scheme,As per government norms,Bihar State Journalist Insurance Scheme,all,General Public,all,100,500000,,middle,Bihar State Journalist Insurance Scheme health Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Biju Pucca Ghar Yojana,all,General Public,all,100,500000,,middle,Biju Pucca Ghar Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Biju Swasthya Kalyan Yojana,all,General Public,all,100,500000,,middle,Biju Swasthya Kalyan Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Biju Yuva Sashaktikaran Yojana,all,General Public,all,100,500000,,middle,Biju Yuva Sashaktikaran Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Bima Yojana - Direct Benefit to Artisan,all,General Public,all,100,500000,,middle,Bima Yojana - Direct Benefit to Artisan general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Bina Mulya Samajik Suraksha Yojana,all,General Public,all,100,500000,,middle,Bina Mulya Samajik Suraksha Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Birsa Awas Nirman Yojana,all,General Public,all,100,500000,,middle,Birsa Awas Nirman Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Birsa Harit Gram Yojana,all,General Public,all,100,500000,,middle,Birsa Harit Gram Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Block Level Institute for Rural Skill Acquisition (BIRSA),all,General Public,all,100,500000,,middle,Block Level Institute for Rural Skill Acquisition (BIRSA) general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Bunkar Parivar Ke Pratibhavan Chatra-Chatraon Ko Protsahan Puraskar Yojana,all,General Public,all,100,500000,,middle,Bunkar Parivar Ke Pratibhavan Chatra-Chatraon Ko Protsahan Puraskar Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Bunkar Parivar Sahayata Yojana,all,General Public,all,100,500000,,middle,Bunkar Parivar Sahayata Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Capacity Building For Service Providers - Skill Testing & Certification,all,General Public,all,100,500000,,middle,Capacity Building For Service Providers - Skill Testing & Certification general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,High,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Central Sector Scheme of National Fellowship for Providing Fellowship to Scheduled Caste Students to Pursue M.Phil. & PhD,student,General Public,all,100,500000,,middle,Central Sector Scheme of National Fellowship for Providing Fellowship to Scheduled Caste Students to Pursue M.Phil. & PhD general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Central Vigilance Commission (CVC) Internship Scheme,all,General Public,all,100,500000,,middle,Central Vigilance Commission (CVC) Internship Scheme general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Chai Vikas Yojana,all,General Public,all,100,500000,,middle,Chai Vikas Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Chhattisgarh Mukhyamantri Kanya Vivah Yojana,all,General Public,all,100,500000,,middle,Chhattisgarh Mukhyamantri Kanya Vivah Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Chief Minister Arogya Arunachal Yojana,all,General Public,all,100,500000,,middle,Chief Minister Arogya Arunachal Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Chief Minister BC & EBC Chhatravas Anudan Yojana,all,General Public,all,100,500000,,middle,Chief Minister BC & EBC Chhatravas Anudan Yojana general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Chief Minister EBC Civil Seva Protsahan Yojana,all,General Public,all,100,500000,,middle,Chief Minister EBC Civil Seva Protsahan Yojana general Government welfare scheme As per official scheme guidelines General Public
60,all,400000.0,Medium,Ministry of Rural Development,Government,As per official scheme guidelines,pension,Government welfare scheme,As per government norms,Chief Minister Ekal Nari Samman Pension Yojana,unemployed,General Public,all,100,500000,adult,middle,Chief Minister Ekal Nari Samman Pension Yojana pension Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Various Ministries,Government,As per official scheme guidelines,general,Government welfare scheme,As per government norms,Chief Minister Floriculture Mission,all,General Public,all,100,500000,,middle,Chief Minister Floriculture Mission general Government welfare scheme As per official scheme guidelines General Public
0,all,400000.0,Medium,Ministry of Education,Government,As per official scheme guidelines,student,Government welfare scheme,As per government norms,Chief Minister Higher Education Encouragement Scholarship Scheme,student,General Public,all,100,500000,,middle,Chief Minister Higher Education Encouragement Scholarship Scheme student Government welfare scheme As per official scheme guidelines General Public
